date,imports,exports,balance
2014-01,37887178169,40355985464,2468807295
2014-02,38481908286,39456954731,975046445
2014-03,43236753858,45604346595,2367592737
2014-04,43552823674,42894802098,-658021576
2014-05,44543297090,45160750668,617453578
2014-06,43725691832,45186753168,1461061336
2014-07,41978042785,43469275157,1491232372
2014-08,43622568956,43320519514,-302049442
2014-09,44084009149,46097778411,2013769262
2014-10,46769285138,47010281376,240996238
2014-11,42169741805,42538760768,369018963
2014-12,42148671111,45676672667,3528001556
2015-01,40301475650,42473589459,2172113809
2015-02,40377271066,40014258934,-363012132
2015-03,47572804471,45605447227,-1967357244
2015-04,45315294702,42066975611,-3248319091
2015-05,44608815609,41490841285,-3117974324
2015-06,46262755258,45980209001,-282546257
2015-07,45035762228,43755655412,-1280106816
2015-08,45823388786,44157701502,-1665687284
2015-09,46148172796,45861992677,-286180119
2015-10,46173649558,43952364537,-2221285021
2015-11,44797251445,42790723654,-2006527791
2015-12,43735179822,45916300818,2181120996
2016-01,41572386329,43691001050,2118614721
2016-02,43035238205,41470883462,-1564354743
2016-03,45776147064,43509082703,-2267064361
2016-04,44054396427,40096641055,-3957755372
2016-05,44586554029,40760380822,-3826173207
2016-06,46334709221,42751200908,-3583508313
2016-07,42081952704,39512286550,-2569666154
2016-08,46434937418,43838296797,-2596640621
2016-09,47727293355,44461913088,-3265380267
2016-10,45017385146,44717235776,-300149370
2016-11,44628217559,46720721408,2092503849
2016-12,42002135411,45241955853,3239820442
2017-01,41925800074,44598023080,2672223006
2017-02,42630213110,42319690523,-310522587
2017-03,49822152135,49759833444,-62318691
2017-04,46675849242,45367235564,-1308613678
2017-05,50915595394,50094555710,-821039684
2017-06,51063876896,48074587470,-2989289426
2017-07,44180612390,40976022616,-3204589774
2017-08,48098619522,43579355618,-4519263904
2017-09,46014837587,42943507389,-3071330198
2017-10,46475782328,45506078577,-969703751
2017-11,48880040528,46718111810,-2161928718
2017-12,45345818534,46149623029,803804495
2018-01,43871749682,45322209499,1450459817
2018-02,44372393265,42356712304,-2015680961
2018-03,52665306305,49740106720,-2925199585
2018-04,50307908249,47541967565,-2765940684
2018-05,53202525314,50819018921,-2383506393
2018-06,52779877061,52406548141,-373328920
2018-07,49772177463,49256146351,-516031112
2018-08,52137281304,50449437807,-1687843497
2018-09,49041742369,48682119410,-359622959
2018-10,51617336909,51763041251,145704342
2018-11,49381908295,49141959890,-239948405
2018-12,46735469672,46815397908,79928236
2019-01,48034786202,45576275347,-2458510855
2019-02,46335386236,42506739648,-3828646588
2019-03,53602289328,51634842483,-1967446845
2019-04,52031108012,49765355125,-2265752887
2019-05,54237496324,55430249055,1192752731
2019-06,50675984768,50999708201,323723433
2019-07,49965448903,48836318200,-1129130703
2019-08,51819051331,49389471524,-2429579807
2019-09,49357831065,49186862610,-170968455
2019-10,51807910627,50836424595,-971486032
2019-11,48067920992,48023878178,-44042814
2019-12,46027273315,49896206519,3868933204
2020-01,45648654997,46561228167,912573170
2020-02,45007130863,44504479891,-502650972
2020-03,49405934835,48172586412,-1233348423
2020-04,36372084714,32471757033,-3900327681
2020-05,34626124432,34207211008,-418913424
2020-06,43686199587,41099538376,-2586661211
2020-07,46908057384,43279822855,-3628234529
2020-08,47162561600,43604993167,-3557568433
2020-09,48708027740,46676843485,-2031184255
2020-10,50783238012,47506630005,-3276608007
2020-11,48380199088,46755181350,-1625017738
2020-12,46931751089,47686870740,755119651
2021-01,43931939843,47511084201,3579144358
2021-02,43712050690,45591576063,1879525373
2021-03,54964344585,53826638515,-1137706070
2021-04,49966706524,48876767542,-1089938982
2021-05,50551783568,49960099739,-591683829
2021-06,52014220604,55292242736,3278022132
2021-07,51397876156,51577924555,180048399
2021-08,52590146619,53949472975,1359326356
2021-09,51366831315,52708280920,1341449605
2021-10,54396521561,55101729168,705207607
2021-11,55253479601,58873247476,3619767875
2021-12,56478794532,58449256489,1970461957
2022-01,48967623828,54960866099,5993242271
2022-02,51187677190,54862928067,3675250877
2022-03,66015295768,68230441422,2215145654
2022-04,63048344524,63776906559,728562035
2022-05,63984238394,73171124157,9186885763
2022-06,67037435437,71684749759,4647314322
2022-07,62517644997,66197500799,3679855802
2022-08,67054064968,67529261785,475196817
2022-09,65478078822,66292237835,814159013
2022-10,66586362829,66594936513,8573684
2022-11,63319124352,64939939037,1620814685
2022-12,59225997230,65184775946,5958778716
2023-01,58929165775,65298455569,6369289794
2023-02,57254384086,58695572258,1441188172
2023-03,66808543946,69052473717,2243929771
2023-04,60721645496,61832314957,1110669461
2023-05,67142168745,66127881668,-1014287077
2023-06,66686086563,61998807351,-4687279212
2023-07,59951842854,58748866983,-1202975871
2023-08,66879753432,64969894021,-1909859411
2023-09,64224706657,64246388617,21681960
2023-10,65308056129,67726028034,2417971905
2023-11,64026310287,66606405632,2580095345
2023-12,59184421602,62580724009,3396302407
2024-01,56260215859,60999256176,4739040317
2024-02,59849187199,61573189729,1724002530
2024-03,64759495362,64253079584,-506415778
2024-04,65600201406,64621725680,-978475726
2024-05,66191933195,65447981843,-743951352
2024-06,65213367293,65993751603,780384310
2024-07,63940913893,66264417537,2323503644
2024-08,66693997256,62680282113,-4013715143
2024-09,64567262548,64804942141,237679593
2024-10,68163891666,68406453961,242562295
2024-11,64208563301,65791703656,1583140355
2024-12,61845450348,70017288047,8171837699
2025-01,62956780212,73727651131,10770870919
2025-02,62178703653,65307642517,3128938864
2025-03,72473912966,71928218571,-545694395
2025-04,66414006026,60262169287,-6151836739
2025-05,67629254376,62635801286,-4993453090
2025-06,67486048025,61248232101,-6237815924
2025-07,65775034641,62151556193,-3623478448
2025-08,65633204504,57941701056,-7691503448
2025-09,63804555946,64536741089,732185143
2025-10,69237858837,67941277544,-1296581293
2025-11,63236781012,62972749550,-264031462
2025-12,62144880839,68351878138,6206997299
2026-01,59663222011,60284863268,621641257
2026-02,64316176104,61397936226,-2918239878
2026-03,73639209795,73456285343,-182924452
2026-04,69347820099,72502342166,3154522067
